5 2 4
3
4 50 30 10
300
2 1 40  3 (19,3),(24,4),(29,5)
285 285 50  3 (16,1),(32,3),(33,4)
286 286 42  2 (5,5),(10,5)
286 287 35  1 (35,1)
287 288 7  2 (4,2),(4,4)
288 289 13  0
289 290 12  0
289 291 10  3 (3,5),(7,5),(8,3)
292 292 30  1 (26,3)
294 293 9  3 (3,1),(5,1),(7,3)
294 294 10  0
294 295 46  0
295 296 10  2 (3,2),(3,4)
296 297 16  1 (16,4)
296 298 49  1 (15,4)
297 299 17  2 (2,4),(10,5)
299 300 23  3 (13,4),(16,1),(16,4)
79 126
230 191
274 76
315 60
385 143
408 244
412 25
500 297
502 155
786 247
829 44
848 113
855 110
962 2
